"","campus","rate","Rank"
"1","Adelphi University",1.45,138
"2","Alabama State University",8.1,182
"3","Andrews University",5.05,172
"4","Arizona State University-Tempe",3.85,123
"5","Ashland University",2.3,203
"6","Athens State University",0.15,180
"7","Auburn University",1.84,93
"8","Azusa Pacific University",4.69,173
"9","Ball State University",1.92,165
"10","Baylor University",1.55,67
"11","Benedictine University",1.51,209
"12","Biola University",1.59,154
"13","Boston College",3.79,31
"14","Boston University",2.68,39
"15","Brandeis University",4.03,34
"16","Brigham Young University-Provo",0.7,64
"17","Brown University",7.82,14
"18","Bryant & Stratton College-Virginia Beach",0.5,74
"19","California Institute of Technology",18.08,12
"20","California Institute of Technology",18.08,35
"21","California State University-Fresno",3.55,215
"22","California State University-Fullerton",1.35,196
"23","Carnegie Mellon University",3.44,24
"24","Case Western Reserve University",3.79,37
"25","Central Michigan University",0.87,191
"26","Clark University",6.91,71
"27","Clarkson University",2.73,122
"28","Clemson University",2.9,62
"29","College of William and Mary",3.02,33
"30","Colorado School of Mines",2.07,78
"31","Colorado State University-Fort Collins",1.63,124
"32","Columbia University in the City of New York",3.76,6
"33","Cornell University",2.49,15
"34","Dallas Baptist University",1.24,204
"35","Dartmouth College",6.73,11
"36","DePaul University",1.56,117
"37","Drexel University",1.95,91
"38","Duke University",5.79,8
"39","Duquesne University",1.84,118
"40","East Carolina University",1.4,199
"41","Edgewood College",1.95,160
"42","Emory University",4.54,20
"43","Florida Institute of Technology",1.48,161
"44","Florida State University",2.74,87
"45","Fordham University",3.62,57
"46","Gardner-Webb University",2.63,210
"47","George Mason University",1.16,135
"48","George Washington University",0.06,54
"49","Harvard University",10.34,2
"50","Hofstra University",3.42,126
"51","Illinois Institute of Technology",3.56,96
"52","Illinois State University",2.69,142
"53","Immaculata University",0.85,143
"54","Indiana University-Bloomington",2.03,86
"55","Indiana University-Purdue University-Indianapolis",4.39,187
"56","Iowa State University",1.93,104
"57","Johns Hopkins University",0.74,10
"58","Kansas State University",2.37,128
"59","Lehigh University",1.82,44
"60","Lesley University",1.13,186
"61","Lipscomb University",9.55,166
"62","Louisiana Tech University",3.1,192
"63","Loyola University Chicago",1.6,94
"64","Marquette University",2.39,82
"65","Maryville University of Saint Louis",1.65,156
"66","Massachusetts Institute of Technology",10.17,7
"67","Mercer University",1.68,129
"68","Miami University-Oxford",2.55,76
"69","Michigan State University",3.7,79
"70","Michigan Technological University",0.78,111
"71","Mississippi State University",1.71,167
"72","Missouri University of Science and Technology",2.19,157
"73","Montana State University",2.11,200
"74","Montclair State University",3.96,168
"75","New Jersey Institute of Technology",1.27,130
"76","New York University",0.99,36
"77","North Carolina State University at Raleigh",2.59,89
"78","North Dakota State University-Main Campus",1.54,181
"79","Northeastern University",1.63,40
"80","Northern Illinois University",2.45,205
"81","Northwestern Oklahoma State University",3.25,145
"82","Northwestern University",4.45,13
"83","Nova Southeastern University",0.53,206
"84","Old Dominion University",1.42,201
"85","Oregon State University",2.35,136
"86","Pepperdine University",3.55,50
"87","Princeton University",9.4,1
"88","Rensselaer Polytechnic Institute",2.76,41
"89","Rice University",6.49,16
"90","Robert Morris University",1.91,177
"91","Rochester Institute of Technology",2.64,100
"92","Rutgers University-New Brunswick",3.55,66
"93","Rutgers University-Newark",1.31,133
"94","Saint John Fisher College",1.23,141
"95","Saint Johns University",8.49,158
"96","Saint Louis University",1.85,92
"97","San Diego State University",4.06,139
"98","Seattle Pacific University",3.54,149
"99","Seton Hall University",3.71,112
"100","Shenandoah University",3.65,211
"101","Sofia University",0.33,140
"102","South Dakota State University",1.48,193
"103","Southern Illinois University-Carbondale",3.66,207
"104","Southern Methodist University",3.28,55
"105","Stanford University",9.98,5
"106","Stevens Institute of Technology",2.79,68
"107","Suffolk University",0.41,178
"108","SUNY College of Environmental Science and Forestry",1.3,95
"109","Syracuse University",4.11,58
"110","Temple University",1.93,113
"111","Tennessee Technological University",2.6,212
"112","Texas A & M University-College Station",1.22,72
"113","Texas Christian University",2.97,80
"114","Texas Tech University",1.1,169
"115","The University of Tennessee-Chattanooga",5.48,99
"116","The University of Virginia's College at Wise",1.17,26
"117","Tufts University",5.21,27
"118","Tulane University of Louisiana",6.3,42
"119","Union University",2.06,159
"120","University of Alabama at Birmingham",1.66,151
"121","University of Alabama at Birmingham",1.66,98
"122","University of Alabama in Huntsville",3.13,188
"123","University of Alaska Fairbanks",1.91,197
"124","University of Arizona",2.07,120
"125","University of Arkansas",2.86,131
"126","University of California-Berkeley",3.54,22
"127","University of California-Berkeley",3.54,146
"128","University of California-Hastings College of Law",8.24,46
"129","University of California-Irvine",3.66,43
"130","University of California-Los Angeles",4.83,25
"131","University of California-Riverside",3.89,115
"132","University of California-San Diego",3.59,47
"133","University of California-Santa Barbara",2.63,38
"134","University of California-Santa Cruz",3.3,77
"135","University of Central Florida",1.41,170
"136","University of Chicago",2.9,3
"137","University of Cincinnati-Main Campus",2.61,134
"138","University of Colorado Boulder",3.53,90
"139","University of Connecticut",3.48,59
"140","University of Dayton",5.58,105
"141","University of Delaware",2.71,75
"142","University of Denver",5.91,83
"143","University of Florida",1.11,51
"144","University of Georgia",1.78,56
"145","University of Hartford",9.25,179
"146","University of Houston",2.16,183
"147","University of Idaho",1.05,162
"148","University of Illinois at Chicago",1.93,147
"149","University of Illinois at Urbana-Champaign",2.24,48
"150","University of Iowa",1.82,81
"151","University of Kansas",3.25,114
"152","University of Kentucky",3.64,127
"153","University of La Verne",1.61,144
"154","University of Louisville",1.89,163
"155","University of Maine",5.02,174
"156","University of Maryland-Baltimore County",1.73,152
"157","University of Maryland-College Park",5.19,61
"158","University of Massachusetts-Amherst",4.1,73
"159","University of Massachusetts-Boston",1.02,217
"160","University of Massachusetts-Dartmouth",7.36,218
"161","University of Massachusetts-Lowell",2.71,148
"162","University of Miami",4.15,45
"163","University of Michigan-Ann Arbor",2.7,29
"164","University of Minnesota-Twin Cities",2.55,69
"165","University of Mississippi",1.73,108
"166","University of Mississippi",1.73,132
"167","University of Missouri-Kansas City",4.5,202
"168","University of Missouri-St Louis",1.83,219
"169","University of Montevallo",3.48,208
"170","University of Nebraska-Lincoln",1.79,109
"171","University of Nevada-Reno",2.02,190
"172","University of New Hampshire-School of Law",3.76,102
"173","University of North Carolina at Asheville",2.85,103
"174","University of North Carolina at Chapel Hill",2.02,30
"175","University of North Carolina at Charlotte",3.14,198
"176","University of North Carolina at Greensboro",3.15,220
"177","University of North Dakota",1.63,194
"178","University of North Florida",1.27,153
"179","University of Notre Dame",5.25,17
"180","University of Oklahoma-Health Sciences Center",2.47,110
"181","University of Oregon",2.85,97
"182","University of Pennsylvania",2.51,9
"183","University of Pittsburgh-Bradford",3.41,65
"184","University of Rhode Island",3.88,150
"185","University of Rochester",6.75,32
"186","University of San Diego",6.17,84
"187","University of San Francisco",4.15,101
"188","University of South Dakota",2.32,195
"189","University of Southern California",2.76,23
"190","University of Southern Mississippi",1.48,213
"191","University of St Thomas",2.24,116
"192","University of St Thomas",2.24,116
"193","University of St Thomas",2.24,116
"194","University of St Thomas",2.24,116
"195","University of the Pacific",7.38,106
"196","University of Tulsa",5.86,85
"197","University of Utah",2.15,107
"198","University of Vermont",6.85,88
"199","University of Washington-Seattle Campus",2.55,53
"200","University of Wisconsin-Madison",2.64,49
"201","University of Wyoming",3.06,164
"202","Utah State University",0.93,214
"203","Vanderbilt University",7.45,18
"204","Villanova University",3.45,52
"205","Virginia Commonwealth University",2.94,155
"206","Wake Forest University",11.05,28
"207","Washington State University",2.45,137
"208","Washington University in St Louis",3.67,19
"209","West Virginia University",1.76,175
"210","Western Michigan University",2.18,184
"211","Worcester Polytechnic Institute",0.84,60
"212","Yale University",6.86,4
"213","Yeshiva University",3.34,63
"214","American University",NA,70
"215","Bowling Green State University-Firelands",NA,185
"216","Catholic University of America",NA,121
"217","Georgetown University",NA,21
"218","Howard University",NA,119
"219","Imagine-Paul Mitchell Partner School",NA,125
"220","New Mexico State University-Dona Ana",NA,216
"221","University of Colorado Denver/Anschutz Medical Campus",NA,189
"222","University of New Mexico-Gallup Campus",NA,171
